filename,index_num,conflict,mediator,claude_code,claude_confidence,claude_flag,claude_rationale
10_DRC_Rwanda_Washington_process_QATAR.txt,10,DRC_Rwanda_Washington_process,QATAR,1,0.85,,"The statement's dominant mediation logic centers on ceasefire, humanitarian assistance, and de-escalation as urgent priorities. While it references 'root causes' and 'sustainable peace,' these appear as secondary considerations rather than conditions attached to the mediation itself. The language emphasizes procedural goals—cessation of hostilities, mutual trust, territorial integrity—without prescribing specific governance models or ideological transformations. The focus remains on ending violence and facilitating dialogue rather than conditioning engagement on political restructuring."
11_DRC_Rwanda_Washington_process_US.txt,11,DRC_Rwanda_Washington_process,US,1,0.85,,"This peace agreement overwhelmingly emphasizes negative peace objectives: ceasefire implementation, disengagement of forces, neutralization of armed groups, cessation of hostilities, humanitarian access, and territorial integrity. While it includes provisions for economic integration and refugee return, these are framed as stabilization mechanisms rather than ideological prerequisites. The agreement does not condition peace on democratic governance, specific political outcomes, or value-based transformation—it focuses on ending violence and creating security conditions that allow normal bilateral relations to resume."
12_Gaza_ceasefire_Guardian_of_the_Walls_QATAR.txt,12,Gaza_ceasefire_Guardian_of_the_Walls,QATAR,0,0.85,,"The statement's mediation-related language is dominated by positive peace logic. Qatar explicitly conditions its diplomatic objectives on a specific political outcome: 'establishing an independent state based on the borders of 1967 with East Al Quds as its capital.' The call for 'diplomatic work' and 'active and united Arab position' is framed not merely as ending violence, but as achieving Palestinian statehood, ending occupation, and enforcing international law against Israeli policies described as ethnic cleansing and war crimes. While security concerns (shelling, deaths) are mentioned, they serve as justification for the broader transformative political goal rather than constituting the mediation aim itself."
13_Gaza_ceasefire_Guardian_of_the_Walls_US.txt,13,Gaza_ceasefire_Guardian_of_the_Walls,US,1,0.85,,"The statement's dominant mediation logic centers on stability and violence cessation rather than ideological transformation. Blinken repeatedly frames U.S. objectives in security-humanitarian terms: achieving ceasefire, addressing urgent humanitarian needs, reducing tensions, and breaking cycles of violence. While he mentions two-state solution and equal measures of freedom as background context, these appear as long-term aspirations rather than conditions attached to the immediate mediation effort. The core mediation goals—ceasefire maintenance, humanitarian relief, and tension reduction—reflect negative peace orientation focused on ending violence without prescribing specific governance outcomes as prerequisites for engagement."
14_Gaza_War_PhaseI_ceasefire_hostage_negotiations_QATAR.txt,14,Gaza_War_PhaseI_ceasefire_hostage_negotiations,QATAR,1,0.85,,"The statement's dominant mediation logic focuses on security and humanitarian outcomes: ceasefire implementation, prisoner exchange, humanitarian aid delivery, and cessation of hostilities. While Qatar expresses support for broader political principles (two-state solution, Palestinian statehood, Syrian sovereignty), these appear as contextual foreign policy positions rather than conditions attached to the mediation itself. The core mediation goals described—ending violence, facilitating aid, securing prisoner releases—reflect negative peace orientation focused on stopping harm without prescribing specific governance transformations as prerequisites for engagement."
15_Gaza_War_PhaseI_ceasefire_hostage_negotiations_US.txt,15,Gaza_War_PhaseI_ceasefire_hostage_negotiations,US,1,0.85,,"The statement's dominant mediation logic centers on ending violence and securing humanitarian relief without imposing ideological conditions on the outcome. The spokesperson repeatedly emphasizes ceasefire, hostage return, humanitarian surge, and stopping the fighting as primary goals. While the statement mentions broader political aspirations (day-after governance, normalization, Palestinian statehood), these are framed as separate imperatives to be pursued after the ceasefire, not as conditions attached to the mediation itself. The U.S. describes its role as guarantor focused on maintaining negotiations and ensuring parties stay at the table—a procedural, stability-oriented posture. The emphasis on 'stopping violence' and 'breaking the cycle' without requiring immediate political transformation of the conflict parties reflects negative peace orientation."
16_Gaza_War_PhaseII_West_Bank_negotiations_QATAR.txt,16,Gaza_War_PhaseII_West_Bank_negotiations,QATAR,1,0.85,,"The statement's dominant mediation rationale centers on security and humanitarian objectives: stabilizing the situation, de-escalation, protecting civilians, ensuring humanitarian aid entry, and sustaining the ceasefire. While it mentions 'legitimate rights' of Palestinians and 'lasting peace,' these appear as background context rather than conditions attached to Qatar's mediation goals. The core language describes procedural aims (ceasefire implementation, aid access, reconstruction) without prescribing specific governance outcomes or ideological transformation, consistent with negative peace orientation."
17_Gaza_War_PhaseII_West_Bank_negotiations_US.txt,17,Gaza_War_PhaseII_West_Bank_negotiations,US,0,0.85,,"The statement's mediation goals are heavily conditioned on specific governance outcomes: technocratic leadership, civil institution-building, 'self-sustaining governance,' demilitarization, and a 'terror-free environment.' The language prescribes not just an end to violence but a particular political and institutional transformation aligned with the mediator's vision of legitimate governance. While security elements appear (stabilization force, demilitarization), they serve a broader transformative agenda rather than constituting the primary mediation aim. This reflects positive peace logic—mediation conditioned on structural and ideological prerequisites."
18_Gaza_ceasefire_Operation_Cast_Lead_QATAR.txt,18,Gaza_ceasefire_Operation_Cast_Lead,QATAR,1,0.85,,"The statement's dominant mediation logic focuses on ending violence and lifting the blockade—security and humanitarian objectives that do not prescribe a specific governance outcome. While the speaker references democracy and Palestinian choices as context for the crisis, the core mediation demands are procedural: 'ceasefire that stops the bloodshed' and 'lifting of the blockade and opening of all border crossings.' The statement explicitly rejects equating parties or rewarding aggression, but frames desired outcomes in terms of ending violence and siege rather than imposing governance conditions on Israel or Palestine."
19_Gaza_ceasefire_Operation_Cast_Lead_US.txt,19,Gaza_ceasefire_Operation_Cast_Lead,US,1,0.85,,"The statement focuses exclusively on security and humanitarian objectives: restoring the ceasefire, ending violence, and addressing humanitarian needs. While it assigns responsibility to Hamas, it does not attach political or governance conditions to the mediation goal itself. The dominant logic is stopping violence and protecting civilians rather than transforming political structures or advancing a specific governance model."
